sentences,attribution,attrib_words
so please paadam anga poi edunga,0,deforestation
tamilnaatula thanni pancham adhuku oru theervu sollunga boss,0,agriculture
ulagathlaye adhigama groundwater ah uricharadhu no,0,groundwater exploitation
1 india adhulayum no,0,human activity
ingu kudineer thevaikkaga mattuma urinchapadugiradhu,0,deforestation
pls tell frankly in india how much water is consuming for people needs and how much is consuming for corporate companies,1,industrial development
i lived in cantt faizabad of up there were given free residence to army men and thier family with free water but nobody cared if there water tankers are flowing all the time bcoz it has some fault then i saw same thing at delhi railway station overflowing tanks i request people enjoying free water to save it and to the govt to monitor all cantt areas where million litres of water is wasted every day,1,public water wastage
i request people enjoying free water to save it and to the govt to monitor all cantt areas where million litres of water is wasted every day,1,government inaction
rainwater harvesting drip irrigation water conservation measures is the need,1,lack of harvesting
rainwater harvesting drip irrigation water conservation measures is the need,1,agriculture
moreover desalinisation can be done like israel,1,desalination
bigger picture population needs to be controlled limited resources and many people put pressure on water land and everything,1,overpopulation
limited resources and many people put pressure on water land and everything,1,strain on natural resources
a massive population decrease for a start,1,overpopulation
good statistics and points,0,lack of infrastructure
really surprisingshocking to see the statistics of exports we do and water we use for those,0,public water wastage
global warming really its called climate change when you write global warning you sound like you dont know what you are talking about,1,climate change
we should adopt israeli techniques to purify sea water cheap cost,0,climate change
ban illegal construction and illegal water extraction by corporate,0,government inaction
plant lots of trees to raise ground water table,1,deforestation
plant lots of trees to raise ground water table in chennai many lakes were drained for illegal construction,1,loss of water bodies
in chennai many lakes were drained for illegal construction,1,urbanization
in chennai many lakes were drained for illegal construction,1,corruption
we want to see desalination video by dhuruv rathi,0,urbanization
gee i dunno man,0,water withdrawals
over population of inbred people that pollute the water with their dead and trash,1,overpopulation
over population of inbred people that pollute the water with their dead and trash,1,pollution
it’s a shit hole,0,industrial development
how come aj did not report in indias lunar mission,0,groundwater exploitation
good job mr rathee looking forward to your rainwater harvesting video,0,natural calamities
i really appreciate your efforts that you dont just make a video showing the problem but also thinks and bring up solutions for the same,0,pollution
keep up the great work,0,natural calamities
while this paints a possible bright future fracking is bound to have a detrimental impact on local communities and the environment,0,overpopulation
as fracking consumes large amounts of water average 15000 m3well and relatively larger surface area it is bound to impact irrigation and other local requirements,1,industrial development
s experience out of 260 chemical substances 58 have been identified to pose a risk to human life and environment eight are carcinogens and 17 are toxic to freshwater organisms,1,contamination
further as 2590 of the fluid is not retrieved and cracks in the shaft are possible there is a high risk of pollution to nearby underground water,1,pollution
instances of groundwater pollution have been reported in the u,0,water withdrawals
fracking has other impacts such as increased air emissions including greenhouse gases and seismic activity,0,human activity
in chennai every water drop counts,0,corruption
its not rain scarcity but water mismanagement,1,public water wastage
better to change capital city of tamilnadu,0,public water wastage
use tissue papers save water during raining seasons avoid to occupied in water reservoirs,1,lack of harvesting
no use chennai people forget everything if they get their needs,0,agriculture
solomon gad when most of the water will melt into the oceans well have less usable water for all practical purposes,0,human activity
salt water is not quite effective in daily life of land animals you see,0,human activity
the issue discussed here and the solution suggested may not suit other countries,0,public water wastage
it is intended for our indian climatic conditions and geography,0,religion
issue harming hazardous implementation think hard,0,desalination
may i appeal all to think hard enough,0,desalination
yes open defecation lead to disease,0,desalination
but toilets create more issues and more disease,0,overpopulation
the faeces or shit lingers around in pipelines for days together,0,natural calamities
its equivalent to open defecation,0,urbanization
infact its worser than open defecation because the heat of shit the gas generated the harmful organisms gathering over it alongwith garbage napkins tissues soap chemicals toilet cleaning chemicals etc all cause dangerous harmful hazardous impact on the surroundings,1,contamination
and when the whole lot of above substance in pipelines reach water bodies like pond lake river sea,0,government inaction
imagine the harm we humans are creating,0,urbanization
when these water with hazardous harmful substances and chemicals evaporates and rains imagine the kind of rain water pouring over habitations in cities vilages forests etc,0,human activity
solution burry make pits in mud soil shit into it cover with soil leaves etc,0,water withdrawals
agree open defecation is harmful,0,strain on natural resources
so is pipelines defecation too,0,lack of infrastructure
lets see our traditional old ways,0,industrial development
during my childhood days we were living in village,0,lack of awareness
my dad used to ask early in the mornings if i had burried the gold,0,public water wastage
yes he meant the shit,0,deforestation
the words has valuable insight,0,lack of infrastructure
if the thing is burried under soil its valuable humanure,0,agriculture
especially in our country where the climate and soil and wind covering the surface along with falling twigs branches leaves flowers seeds ripen fruits etcetra,0,corruption
makes the soil effortlessly fertile,0,government inaction
these help organisms convert the shit into valuable manure,0,lack of awareness
at times the catastrophic days of wind cyclone etc,0,public water wastage
the soil with above falling natural substances pressurize the gathered leaves roots branches twigs converts shits of human animals birds insects reptiles etc into valuable mineral deposits by nano organisms,0,overpopulation
when over period it gets submerged even deeper in soil the pressure the conversion process and indulging of various other factors lead to formation of oil,0,corruption
so humbly request all concerned to give maximum consideration of ways to implement this way of tackling the issue,0,public water wastage
implementation of above solution solves many issues of harmful disease and hazardous environment,0,industrial development
and provides manure minerals ores oil,0,lack of infrastructure
these resources of minerals ores oil,0,human activity
are now depleting only because we stopped our old ways,0,industrial development
then introduced toilets pipelines etc and spoiled all water bodies around us,0,damming
then covered open soil surfaces with tar cement tiles marbles granites etc,0,lack of awareness
and made rain water mix with these substances,0,public water wastage
thus this adulterated rain water became unacceptable for all for mud soil plants trees birds animals humans too,0,government inaction
otherwise if we had been doing everything the wise way we were doing earlier around 50 years ago we will have perenial fertile soil water bodies organic vegetables fruits flowers mineral ores oil,1,lack of harvesting
and so have natural organic greenery all around us and the rain water that pours over us will be more valuable because instead of acqua filtering harmful hazardous water we have naturally effortlessly achieved pure water gathering in ponds lakes dams rivers etc,1,loss of water bodies
and we have stopped spoiling water bodies like ponds streams rivers sea,0,government inaction
with defecation from pipelines and we would have achieved neatly planned habitation in clean towering residentials surrounded with lots of organic dairy fruits vegetables herbs water bodies,0,industrial development
perenially available at ease,0,religion
implementation open soil surfaces has to be urgently made available,0,religion
we have technology to build large high residential towers and commercial towers,0,religion
yes keep them separately in different zones atleast one kilometre apart,0,agriculture
having built towers allocate housing in these towers for citizens,0,industrial development
so that the scattered housing buildings can be converted to large open soil surfaces manured and fertilised with valuable natural processes that were already practiced just about 30 years before by our wise elders,0,natural calamities
organic dairy fruits vegetables herbs etc will be effortlessly growing in abundance and made available perenially for generations of our siblings let us get above suggestions implemented right away so before our generation dies we will have corrected our mistakes and helped our siblings with real directly drinkable water organic hygeine fruits vegetables herbs,0,religion
that can be consumed without washing also as we did during our childhood days,1,loss of water bodies
we will have created lots of water bodies too like water well ponds lakes streams etc,0,damming
well water had water oozing from many corners and were filled with water all year round well water has much larger circumference than bore wells,1,groundwater exploitation
also bore wells are deeper and has the harmful possibility of mixing gases and gaseous substances from deep beneath the surface,0,climate change
and salt from sea will never again be harmful to consume directly,0,pollution
we will not need to add chemicals like iodine that was introduced only to cover up the mistake of letting shit and garbage into sea water,0,religion
there is another alternative,0,human activity
we can continue to live stupid,0,agriculture
we have forced ourselves to buy water and drink water that has no value in it,0,climate change
we have forced ourselves to term something as milk which is a mix of tuber or even soap kind if chemicals as is revealed by lot of videos on youtube,0,human activity
climate change will make droughts worse,1,climate change
poor planning makes the issue harder to cope with,1,lack of infrastructure
lets make india free of water crisis,0,human activity
we do rainwater harvesting by collecting water through roof in our town of sujangarh churu rajasthan you wont believe that we use this rainwater through out year it can last a year if only used for drinking,0,religion
tutor de matematicas the indian population is one of the problems it’s too big,1,overpopulation
you can plant as much trees as you want conserve as much water as possible but you guys are growing too a environmentally unsustainable level where you require more space to live more lands to cultivate,1,deforestation
why dont u talk about make in india which taking virtual water more and exported why dont u save this water government take direct and indirect tax why dont government itself take intiative for building rain water harvesting atleast for street wise concept why govt gave approval to build house and government office in lake,1,government inaction
andy macgregor the waste collection has gotten better,0,loss of water bodies
not the waste management,0,strain on natural resources
everything just gets dumped in the dump yard,1,human activity
yes thats very very unfortunate and i hope that the bloody cm rectifies his mistake soon,0,corruption
but how does it prove that the whole bjp party is arrogant and insolent,0,water withdrawals
that bloody mani shankar iyer also repeatedly told many good things lol about our country straight from the land of terror,0,pollution
so u mean those were the words of congress party,0,human activity
good information bro but all are telling about water but no one is anything about water try to something about water instead of talking,0,corruption
water is the one of the major issue in india in maharashtra condition is so bad that we get water once every month in our village from february sirf 3 bar nal ko paani aya i cant explain the problem you the problems you have to face due to lack of water,0,pollution
i have seen people wasting so much water they dont know its value while brushing some people keep the water tap running the whole time,1,public water wastage
in my house we collect the whole water from basins and water our gardens i request you to please make a video on water saving and about paani foundation please promote them they are doing a beautiful work,1,lack of harvesting
please visit their site see it yourself love️,0,climate change
le mon i tell you its easier to feed 60 millions than more than a billion,0,lack of awareness
its a mathematical comparison to explain a point about amounts of people,0,agriculture
in fact i wanted to call you a special kind of stupid but i cannot believe youre that stupid you just want to argue for the sake of it to feel better about yourself or some bs,0,deforestation
you really have issues,0,lack of infrastructure
that said and laugh at i just read a study today about how 17 countries face extremely high water stress,0,damming
in it they were explaining how india is by far the worst cause their population is higher than the 17 other countries combined again youre the only person in the world denying overpopulation is a problem,1,overpopulation
so i mean if a random number to illustrate a point makes you feel better about yourself good for you but you still are crazier than flat earthers,0,contamination
even a four years old can understand why overpopulation is a problem,1,overpopulation
they should reduce population by 90 percent,1,overpopulation
rain water harvesting is one of the solution of water problem,1,lack of harvesting
glaciers dont want to melt because of global warming,0,damming
correct me if im wrong but it seems like they have global cooling up there,0,overpopulation
i thought desalination is the easiest way to get out of water crisis since 23 of earth is covered with water,1,desalination
lack of water and we are fighting with eachother inthe name of state  ethnicities religions hold eachother hand solve the problem of india।,0,agriculture
gopikrishnan subramanian if desolinated water started to use in irrigation purpose the river water which is using for irrigation can be saved and can be used for drinking purpose and in tamilnadu only few dams holding river water,1,agriculture
gopikrishnan subramanian if desolinated water started to use in irrigation purpose the river water which is using for irrigation can be saved and can be used for drinking purpose and in tamilnadu only few dams holding river water state should construct more mini dams which can hold the water in rainy season and will be the solution for the summer drinking water problems,1,damming
we have resources but lack of politicalwill to take up the initiatives and ends with same,1,government inaction
bete bet human waste garbage dead human bodies dead cows all in the water while people are batheing and drinking the same water,1,contamination
shiva prakasam ye news lo chepparu bhayya neeku,0,climate change
its never to bangalore,0,corruption
bangalore city is filled with greenery,1,deforestation
so automatically water will get into ground level,1,loss of water bodies
and constructions are going normally,0,industrial development
by the way am working in real estate company in blore,0,lack of awareness
many are thinking in the commentsbritish governance would have helped,0,lack of awareness
actually not so true,0,lack of infrastructure
indian toilets use 1 bucket of water,0,strain on natural resources
western toilets use 1 tank of water,0,lack of awareness
in indian system house grey water goes to backyard,0,religion
seeps to ground and replenishes ground water and can be reused from,0,government inaction
but not all grey water is taken in sewerage lines,0,overpopulation
so no ground water,0,natural calamities
eat sleep play tamil,0,desalination
it will help you with water,0,climate change
idiots of highest order,0,human activity
first they elect imbeciles then expect the people they didnt vote for to help them agriculture water resources are state subjects the state govt is responsible,1,government inaction
but tamils being idiots will blame central govt and non tamils for their miseries,0,damming
please do a video on desalination and rain water harvesting,0,agriculture
bro in home water is there,0,natural calamities
and indian media doing bits on hindu muslim and what pakistanis are doing,0,government inaction
its estimated india will add another 150 million people in its population by 2030 thats only another 11 years from now india will no longer have enough water resources and jobs to sustain all of that and the pollution level would be a nightmare,1,overpopulation
its a damn shame dont you know water is life,0,deforestation
india is totally fucked up,0,strain on natural resources
i feel sorry for the poor because they are suffering the most,0,climate change
sir every problem in india are branches of same tree and the root of this tree is overpopulation in india the population is much more than the available resources therefore i request you to make a segment on population of india and the other devloped countries,1,overpopulation
bro we borewell and we also get water within 100 ft itself,0,strain on natural resources
but water not good for drinking because we spoiled it with septic tank,0,corruption
so speak about it,0,strain on natural resources
hence im saying instead of just quoting the past lets organize and create awareness to enable a movement at a grassroots level,1,lack of awareness
and when i say grassroots i dont mean rural at an urban grassroots level,0,desalination
people are starting to see the stark truth especially since the last couple of years,0,damming
im 32 have paid taxes for the past decade and have not seen any reinvestment whatsoever towards the tax paying belt,0,climate change
the roads are still bad infrastructure is crumbling water mismanagement is through the roof crimes still go unreported no houses are ever built for the urban poor,1,corruption
the list goes on,0,groundwater exploitation
at some point we the people of india have to take matters into our own hands and challenge the political status quos and establishments,0,lack of harvesting
a middle class uprising is inevitable since we do bear the burden of taxes the most at a collective level,0,agriculture
hence we in mumbai are starting to organize in professional circles to be the change we want to see and preach,0,agriculture
this will not happen overnight coz we would be challenging political norms that are as old as mother india is,0,industrial development
i would urge you to follow the urban grassroots movement in usa like indivisible and justice democrats where everyday working people are running for offices so real problems can be solved,0,industrial development
this challenge to establishment is very required especially now that in theory there is no opposition party,0,contamination
this gives us a unique opportunity to organize and create a caucus of salaried tax paying citizens who need to be represented in the government,0,strain on natural resources
ts cm kcr is smart enough he understands the importance of water and initiated several projects to preserve ground waters lets hope every state in our country allocate sufficient funds to increase and conserve water,0,lack of awareness
please make video on desalination because the earth consists of 75 water but only a small fraction of them is fresh if we could desalinate waterwe would have a lot of water to use,1,desalination
the fellow at the 13 minute point makes a great point,0,lack of harvesting
almost every country makes the same mistake by clear cutting the forests for socalled development,1,deforestation
at the 20 minute mark he could pile up the rotting bodies at the police station to counter the police statements,0,lack of awareness
how could you say,0,human activity
all the frauds behave just like you and me but the different is they mastered art of lying and pretending to be good,0,climate change
simple minded people like you always blindly belief without single hesitation,0,lack of awareness
do some home work before you make conclusions,0,lack of awareness
one of the greatest movements initiated by sadhguru and isha foundation,0,natural calamities
im priviledged to be a part of this nationwide movement not only as a volunteer but also as a conscious indian citizen,0,groundwater exploitation
lets join hands to combat the acute water crisis and shortage across the states of the country,0,groundwater exploitation
cauvery calling is a great platform to start with the reforestation for river replenishment to save our rivers and groundwater levels,1,loss of water bodies
cauvery calling is a great platform to start with the reforestation for river replenishment to save our rivers and groundwater levels,1,deforestation
stop having millions of kids in a country that cant support its own population isnt it like over a billion now,1,overpopulation
it is rightly said india will face water shortage in coming years based upon current situation,0,agriculture
but along increasing population density if water management improved we will get great results same like tokyo city water management where recycling level of water close to 96,1,lack of infrastructure
government have right solution only we have to implement fast and more efficiently,0,strain on natural resources
nice panel discussion at rstv,0,urbanization
with best wishes to all rstv team,0,strain on natural resources
do the people in india just throw their trash etc anywhere they want how hard is it to throw you trash away properly not to mention they shit on the beaches and destroy their water supplies,1,contamination
this video proves why living in a highly regulated society is beneficial to everyone,0,agriculture
all i say its about time the indian gov started doing such social programmes this video shows you why its important for strict gov regulation and for it to be enforced and the public educated about what they are doing thats wrong,1,government inaction
thats why i am all for highly regulated societies,0,public water wastage
this video shows to those whom moan about big gov the cost of having no regulation overall,0,public water wastage
totally agree with the guy at the start,0,corruption
it is absurd that a countries people are more worried about having a mobile then having a thing like a toilet,0,agriculture
shows you most people have messed up priorities,0,climate change
india is such a good example to other countries how having no social programmes leads to society getting out of hand,0,deforestation
if you have no idea of where your country is going and let it just do what it wants a country will have no future and its people will end up being in a messed up situation like india has been for along time now,0,loss of water bodies
i suppose its better late then never on bringing in centralised social programmes,1,government inaction
i totally agree what ever magical properties water can have it was absolutely destroyed by those indians,0,corruption
it may of once had magical properties ie clean water there but there ideas on it totally messed up the good thing they had in it,0,damming
that river is virtually dead you can look at water as being alive or dead and that river ganges is virtually dead,1,contamination
i agree clean water can be magical but what ever time there was that magical property in that river is long since gone,0,strain on natural resources
your solutions are just a temporary solution,0,lack of awareness
the best solution is to plant trees and reduce pollution,1,deforestation
we people water harvesting reuse of water,1,lack of harvesting
government desalination it must be done before any bullet train or anything,1,desalination
government desalination it must be done before any bullet train or anything,1,government inaction
krupasagar sridharan anna now coming to resources point,0,urbanization
less land area ground water depleted water table going down no jobs inflation pollution adulteration crime rate shooting up no proper medical care,1,loss of water bodies
125 crore people and further increasing if we still didnt need population control policy only god can save this country,1,overpopulation
rain water simple sintex tanki buy karo yaar   problem solve,1,lack of harvesting
"hi bro 
my native is arriyanayagipuram located on tutcorin district 

there acres and acres of land are being buyed by some north indian groups
 
my native people tell this was happing sinces 15 years back all over tamil nadu
 kindly address this issue",0,pollution
disgusted at the state of digital media,0,overpopulation
i dont know why you guys wont talk about factories looting our water to save their country water and those corrupt politicians who keep on allowing them here,0,groundwater exploitation
water yeduka factories ah close pannatha vara,0,climate change
yennathan mazha penjalum thanni irukathu,0,lack of harvesting
yellam yeduthuru vaanunga avanungalea,0,deforestation
also atleast iniyathu factories waste lakes la mix aagama iruntha will be useful for people,0,public water wastage
if these factories didnt get close everything will be gone soon,1,industrial development
we can live without car bikes phones etc,0,public water wastage
but cant live without water,0,strain on natural resources
not only us any living thing in this world will die without water,0,strain on natural resources
everyone should preserve water and do water harvesting,1,lack of harvesting
pennywise secularism cant be established on a hypothetical base were the extremist tendencies of islam are ignored and retaliation by hindus is criticised,0,strain on natural resources
how many countries you can name which have muslim majority population and are secular,0,lack of harvesting
why the onus of secularism lies on the shoulders of nonislamic states,0,agriculture
arcsaber11 not many developing third world not having some basic human rights and needs poor af and uneducated countries brag about their country like indians do,0,pollution
like they claim to be super power by 2020 in that condition and they brag about launching rockets to mars,0,contamination
and especially when it comes to pakistan they act like indiausa and pakistankenya p when in reality both are mostly same but are good bad from each other in some aspects,0,religion
if there not even drinking water how is india going to grow food crops to feed it mammoth population,0,climate change
where can we complain upon deforestation and water crises,1,deforestation
i really admire the efforts put in by dhruv rathee to make the general public aware of issues that are relevant and the repercussions of our ignorance,0,water withdrawals
to shed further light on the topic i would like to put some facts for the audience and team as well hoping that the channel would make a detailed episode on the subject,0,deforestation
as chennai and other cities are running out of water i see posts and videos asking people to save every drop of water,0,corruption
and yet people arent focusing on one of the biggest places where water is being wasted and thats animal agriculture,1,human activity
for instance it takes 1020 litres of water to produce just 1 litre of milk,0,urbanization
thats the same amount of water you would save if you didnt bathe for 2 months,0,pollution
its the same amount of water that could quench your thirst for a year and a half,0,water withdrawals
india produces over 430 million litres of milk everyday so if we took into consideration the water footprint of a litre of milk that would account for a wastage of around 430 billion litres of precious water every single day,1,human activity
how many chennai people do you think this amount of water can provide relief to,0,urbanization
how many people would have access to water then theoretically if one glass of milk is not bought,0,industrial development
how many crops can be grown with 1020 litres of water,0,overpopulation
cow milk is not necessary for survival and growth,0,lack of harvesting
hint we dont need horse milk either because we arent baby horses,0,lack of harvesting
a recent study from university of oxford states that raising animals for meat eggs and dairy uses up 13 of the worlds fresh water supply and is one of the leading causes of greenhouse gas emissionsmore than all of the worlds transport system combined water and air pollution fresh water withdrawals and land usemore than 80 of the worlds farmland is used for growing feed for raising livestock but it produces just 18 of food calories consumed by humans,1,human activity
the most comprehensive study till date from intergovernmental panel on climate changeipcc states that the most ecofriendly diet is a vegan diet with a ghg mitigation potential of 8 gt co2 equivalent per yearthats a qaurter of all ghg emissions from fossil fuels today and that switching to a 100 plant based diet will save us from the worst impacts of climate change,0,urbanization
its only a matter of time before the chennai water crisis hits delhi and other parts of the world,0,lack of harvesting
its upto us whether we want to do our bit by turning off the faucet while brushing our teeth or by actually addressing the elephant in the room,0,overpopulation
compulsory rain water harvesting for every home,1,lack of harvesting
no other solution for this crisis,0,deforestation
people have to blamed also,0,deforestation
kejriwal in delhi doing nothing he just allowing everyone to boaring everywhere,1,government inaction
i stay in chennai and i was eagerly waiting for this video,0,lack of awareness
thanks so much dhruv,0,contamination
delta beta are you crazy always blame politician and why people not care environment,0,overpopulation
why people not concern deforestation and not planning of safe environment,1,deforestation
this is not india its global issue,0,groundwater exploitation
water wastage is also biggest crisis in india leakage of pipes everywhere no maintainance,1,public water wastage
im halfway into this documentary and i havent heard one mention of their uncontrolled breeding,0,government inaction
irony is north indians complaining about population,0,overpopulation
south indians have lowest fertility rate in india and pay the highest amount of taxes,0,public water wastage
kastam padunga da appo thaan,0,natural calamities
u all will understand in what status we are in,0,contamination
there are other ways to get clean water too the janicki omniprocessor which turns human waste into water and electricity there is a video about it on youtube and bill gates himself drank that water on video they use similar technology in the iss and by 2030 someone might figure out cheap way to turn salt water to potable water,0,loss of water bodies
sarpanch bai with 21 of its population undernourished nearly 44 of under5 children underweight and 7 of them dying before they reach five years india is firmly established among the worlds most hungerridden countries,0,contamination
the situation is better than only congo chad ethiopia or burundi but it is worse than sudan north korea pakistan or nepal,0,water withdrawals
maybe you live in a better part doesnt mean that whole india is better,0,natural calamities
india has the third largest hiv epidemic in the world,0,industrial development
in 2015 hiv prevalence in india was an estimated 0,0,pollution
1 this figure is small compared to most other middleincome countries but because of indias huge population 1,0,contamination
2 billion this equates to 2,0,industrial development
1 million people living with hiv,0,human activity
in the same year an estimated 68000 people died from aidsrelated illnesses,0,pollution
this is why you people dont work in porn,0,human activity
but people like u watch western people to shake their peanuts,0,contamination
my suggestion is govt should divert water to these areas atleast in summer via tankers and limit water supply in cities where people prefer shower bath,1,public water wastage
this is the dumbest shit i’ve ever seen,0,urbanization
just put in some water tanks and pump out the water in spring,0,corruption
no wasted water or coils,0,desalination
nice sir thank you sir,0,pollution
thanks for the video akash,0,overpopulation
one of the best things an individual and every household can do is eliminate animals products from their diet clothing etc,1,human activity
by doing this we would free up 45 of land on earth which is devoted to animal agriculture 33 of fresh water and approx 18 greenhouse gas emissions which are the leading cause of global warming,1,climate change
it makes you wonder if india is in its rightful mind,0,lack of infrastructure
india has become what china used to be,0,human activity
this is the consequences of over population this is what happened when you allow very poor people to have 20 children for no reason,1,overpopulation
dont always blame gov,0,industrial development
both public and gov,0,religion
should take action to save water,0,urbanization
5 bovine animals per hectare really,0,agriculture
theres no other way to keep fertile soil without using chemicals,0,urbanization
and what on earth did this have to do with water scarcity,0,contamination
unless and until populations are controlled no measure will work,1,overpopulation
we need to take heed and be smart about our ways and our planet our food source our water resource,0,human activity
accountability and action will lead the way,0,religion
there are just too many humans to sustain the planet will find a way to cut population,1,overpopulation
it wont happen as human is smart creature,0,water withdrawals
he will find new way of water conservation if they see the water deficit,0,water withdrawals
but yes due to over population it wil happen for sure,1,overpopulation
plastic bottles and polythene are jamming drainage in mumbai,1,human activity
same goes for many other cities,0,loss of water bodies
plastic is stopping rain water from going to underground,1,contamination
when govt banned plastic some idiot were barking,0,lack of harvesting
now hope u realise what govt doing is good,0,damming
with population of 1 4 billion problem like these will eventually follow,1,overpopulation
instead of blaming govt do something from your own side,0,strain on natural resources
 join the movement  and also plant a tree where you live ,0,corruption
one third of agricultural crops go to live stock if people gave up animal products we could feed the world and save massive amounts of water but no people will still want to stuff there face with dead animals and then complain and panics when dangers become real,1,human activity
at the same time indians need to implement some sort of birth control pills or give incentives for having less children there population is out of control and there living in filth,1,overpopulation
why didnt they build dams and irrigation using trucks to transport water is silly especially in a poor country,1,agriculture
why didnt they build dams and irrigation,1,damming
theres no excuse for water shortage in a country with so much rainfall,0,lack of awareness
so much water in indian oceanblunt water treatment infrastructure for india not going to mars for water,1,lack of infrastructure
we have lots of water and rain but we dont have water reservoirs,1,lack of harvesting
we have lots of water and rain but we dont have water reservoirs,1,damming
half the country is under flood now days no water connectivity its all about corruption,1,corruption
in cities people keep washing their bike and cars lots of water is being wasted in this way of taking water from tank,1,public water wastage
what we sow is what we reap,0,overpopulation
no government in past thought of upgrading infrastructure be it water irritation in rural areas or sewage system which is colluding with drinking water in cities expect modi govt to work on such mammoth projects than upgrading infra not just roads bridges,1,government inaction
no government in past thought of upgrading infrastructure be it water irritation in rural areas or sewage system which is colluding with drinking water in cities,1,lack of infrastructure
no government in past thought of upgrading infrastructure be it water irritation in rural areas or sewage system which is colluding with drinking water in cities,1,contamination
mzs114 hmm so only quoting wikipedia is sensible,0,religion
even though the same article reflects my opinion too,0,desalination
this is the hint that i need to stop playing music to a deaf person,0,agriculture
no way we need more children so that society will advance from more workers and more money and more reasons to go beyond earth to colonize other planets if we restrict ourselves within earth by reducing population we may be wiped out by large scale disaster in future,1,overpopulation
yall ignorant bastards in the comments saying that indians need to stop breeding and that it is the worst race,0,human activity
watch your mouth before this comes to you,0,lack of harvesting
there is action being taken people are making a change,0,industrial development
in a country of more than a billion people what do you freaking expect change to happen over night,0,strain on natural resources
if i start listing the things that are wrong with all the western and europeans nations i wont be able to stop,0,contamination
there is racism in india i am not gonna deny it,0,urbanization
but the way other races are treated in the states and european countries like france and the uk,0,strain on natural resources
killing and targeting people of colour every single day you shouldnt be pointing your finger at indians before looking at the problems that are not changing in your country,0,public water wastage
this stupid topic about stopping a race from breeding because of their problems that are rooted in traditions not religion really needs to end here,0,damming
white european settlers visited countries they didnt belong to and ended up living there and killing off people that were there before them enslaving people from other countries because of their colour and hatred towards others,0,government inaction
you people in the comments in to start working together to reform the world rather than pointing fingers at who is bad and who is not,0,deforestation
because in black and white terms it is racist,0,public water wastage
change needs to happen and it needs to happen now,0,strain on natural resources
if we dont work together to help a nation or just help our own nation then that would be the end of humanity,0,natural calamities
i am sure that this doesnt only happen in india but a lot of other 3rd world countries,0,human activity
us doesnt defecate by their rivers but their water quality isnt that good either,0,deforestation
people unite and be the change rather than being extremists and telling people to stop breeding that is a way of spreading terror among a race because that isnt gonna do anything i,0,human activity
one child policy didnt do shit for china the pollution is the same and water quality is the same,0,pollution
think before you say anything,0,contamination
the reason of climate change is simple humans,1,climate change
the reason of climate change is simple humans,1,human activity
the earth would be a beautiful place without this species,0,water withdrawals
because spending on peoples is useless if 1,0,lack of harvesting
you cant defend said peoples,0,public water wastage
you cant ensure the broader global interests of said peoples because you lack the geopolitical muscle against your enemies,0,climate change
also please to a prime time on ndtv prannoy roy fraud case and show that you are not biased rubbish ji,0,industrial development
actually india also has the water treatment plants but unfortunately they are only available in big cities like mumbaidelhichennai and bangalaore majority of the tier 2 and small cites and villages does not have a proper water treatment and sewage disposal plants,1,lack of infrastructure
india really needs to build their water and sewage infrastructure more than spending money on weapons,1,government inaction
so increased stress on water is now called global warming,0,agriculture
i guess the sky is blue because of global warming too,0,damming
prashant verma its not a bad perspective of india,0,corruption
its the real perspective of india,0,lack of harvesting
i live here too and actually i live in one of the affluent areas and yet there are people i see everyday who shit on the streets cows running around pigs taking dumps near restaurants,1,contamination
its the reality of this country the sooner we face it the better it is,0,overpopulation
ramachandran ram oh as if you know,0,human activity
yah only seemaan and his followers are tamils who have absolutely no respect or decorum are tamils,0,water withdrawals
who are all to say who is tamil and not tamil,0,lack of harvesting
hagedash to clear most peoples questions here that why they are not building reservoir or damn is because it requires huge amount of money,0,damming
it collects water in liquid form which evaporates quickly so they will lose more water,0,natural calamities
"dem nutzzz but they have grown recently 
compared to the population in 1960s muslim now account for more than 15 of the population which is a huge increase in the last 5 decades",0,damming
arun anand i know i am also from darbhanga,0,climate change
there is severe water crisis their,0,damming
the land of mithila never was so dry ever,0,strain on natural resources
may dont hv access to indian media your country this story was covered multiples in both press and live media,0,lack of awareness
check your facts right before running your mouth,0,corruption
it is the ignorance of the tamilnadu government for not taking care of the water storage in terms of lakes reservoirs and dams right from beginning the government is only after taking care of their positions seats and power and they neglected the basic necessities for living,1,government inaction
it is the ignorance of the tamilnadu government for not taking care of the water storage in terms of lakes reservoirs and dams,1,lack of harvesting
its the water from glacier at the topthey use gravity for pressurewater seeks its own levelno pumps no dams only artificial thing they are using pipes,0,lack of harvesting
you can see they are very steep rocks so force is enough for the pressure,0,corruption
eapen kurian so lets take the power away,0,public water wastage
ive been thinking about how we are so conditioned to keep paying taxes but never see any results or ask any questions,0,climate change
the govt collects inr 1 lakh crore in gst every month so how is it getting reinvested towards us the people how about we start asking for more transparency in how our taxes are actually spent its time we break the wheel and ask our government the right questions,1,government inaction
as tax paying citizens its our fundamental civic duty to ask for oversight,0,lack of awareness
swastika yogi india give u free fund of 6500 crore,0,human activity
should we do like china,0,contamination
indian government sucks big time must have been busy on funding their elections actors  goons thank you dw news for showing the world,0,natural calamities
a prudent thing to do would be to prevent soft drink producers from using groundwater,0,religion
all cola drinks sodas synthetic energy drinks like red bull are poison,0,natural calamities
their consumption leads to obesity and a myriad other ailments,0,lack of infrastructure
why should they be allowed to use scarce groundwater,0,overpopulation
